time,sensor,local_track_id,true_target,x,y,vx,vy,track_quality,sigma_pos_m,sigma_vel_mps
3.13,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,615.448538380074,193.15237137777314,119.83841660551258,41.79982399700137,13,52.46035864770422,0.8743393107950702
3.8,RADAR_A,RADAR_A-T5933,TARGET_2_MANEUVER,28098.41321236909,20445.589861440785,-16.52088459720491,153.2928857890474,9,160.417320008009,2.6736220001334834
5.04,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,779.7433278459487,196.37022841614152,121.55452600246136,40.12166567081948,12,69.3723258961401,1.1562054316023351
5.73,RADAR_A,RADAR_A-T5933,TARGET_2_MANEUVER,27786.18424114101,21148.66700047699,-16.96293090655107,146.94860860259678,10,121.30990322456422,2.021831720409404
6.29,RADAR_B,RADAR_B-T5063,TARGET_1_LINEAR,979.3457721159261,98.17500366406142,125.2573573791617,44.88139655705886,9,160.417320008009,2.6736220001334834
7.58,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,990.4713037665474,463.22720639979445,118.71103947215047,40.33946472693554,13,52.46035864770422,0.8743393107950702
7.59,RADAR_A,RADAR_A-T5933,TARGET_2_MANEUVER,27929.864179577038,21344.288788739777,-23.18272797733221,149.09782865228814,13,52.46035864770422,0.8743393107950702
9.36,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,1194.4685737355378,422.6066293692151,118.7704412152581,38.846471298524705,14,39.671283813750286,0.6611880635625048
11.38,RADAR_A,RADAR_A-T3964,TARGET_2_MANEUVER,27775.329956952643,21833.151873957373,-31.880797172625634,146.76443277934288,14,39.671283813750286,0.6611880635625048
11.53,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,1423.6714265615506,495.05157912890394,122.74163985485987,37.8026005742573,12,69.3723258961401,1.1562054316023351
11.76,RADAR_B,RADAR_B-T5063,TARGET_1_LINEAR,1775.1532244411972,591.3456803822561,121.07786258212924,34.14533693981912,10,121.30990322456422,2.021831720409404
12.29,RADAR_C,RADAR_C-T4074,TARGET_1_LINEAR,2327.185942827792,572.6276475759722,126.13484775558337,43.2643939656699,5,490.536420678438,8.1756070113073
13.22,RADAR_A,RADAR_A-T3964,TARGET_2_MANEUVER,27741.587949130404,22161.12939271969,-40.4092462381543,145.63561618253195,14,39.671283813750286,0.6611880635625048
13.5,RADAR_B,RADAR_B-T2174,TARGET_2_MANEUVER,27775.432657089354,22099.817518331838,-40.102115384524744,146.43096149993562,12,69.3723258961401,1.1562054316023351
14.02,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,1844.553402191688,577.3147501974745,117.86038430170076,39.49379823835381,14,39.671283813750286,0.6611880635625048
15.83,RADAR_A,RADAR_A-T3964,TARGET_2_MANEUVER,27658.57226862631,22447.563839465653,-47.3270688374002,143.6319865774395,13,52.46035864770422,0.8743393107950702
16.01,RADAR_B,RADAR_B-T5063,TARGET_1_LINEAR,2077.053161302474,694.2744451856429,117.45968799774602,43.96665309372086,10,121.30990322456422,2.021831720409404
16.07,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,2064.115750886158,602.1451066193401,117.91132350703282,38.39051735103658,12,69.3723258961401,1.1562054316023351
16.33,RADAR_C,RADAR_C-T6204,TARGET_2_MANEUVER,27601.172206149102,22732.380858591296,-44.49726622963947,140.24145126786303,9,160.417320008009,2.6736220001334834
18.01,RADAR_A,RADAR_A-T6495,TARGET_1_LINEAR,2250.4374818971864,763.435526028243,117.93912413014736,38.55339884412155,13,52.46035864770422,0.8743393107950702
18.07,RADAR_A,RADAR_A-T3964,TARGET_2_MANEUVER,27400.114866447122,22761.239039577,-50.65984382735149,140.66789967323993,12,69.3723258961401,1.1562054316023351
