time,x,y,z,vx,vy,vz,callsign,lat,lon,alt_m,time_unix
0.0,-79046.41268093442,26542.228990055544,-7316.0,-33.31998156530689,24.915900229621844,0.0,HEDEF_1,50.0975,14.267,304.0,1782902140.0
0.0,368935.3222871049,26542.228990055544,-7316.0,33.31998156530689,24.915900229621844,0.0,HEDEF_2,50.0975,14.267,304.0,1782902140.0
0.0,-79046.41268093442,-404083.64644471067,-7316.0,566.6800184346931,-24.915900229621844,0.0,HEDEF_3,50.0975,14.267,304.0,1782902140.0
27.0,370734.60129163146,27887.687602455124,-7316.0,44.145340781884805,32.76033949907664,3.630952380952381,HEDEF_2,50.1096,14.2419,304.0,1782902167.0
27.0,-67616.32458218677,-405429.1050571103,-7316.0,238.65167772235915,-32.76033949907664,3.630952380952381,HEDEF_3,50.1096,14.2419,304.0,1782902167.0
27.0,-80845.69168546099,27887.687602455124,-7316.0,-44.145340781884805,32.76033949907664,3.630952380952381,HEDEF_1,50.1096,14.2419,304.0,1782902167.0
55.0,-82687.98134348213,29244.265707518734,-7011.0,-70.54341382622611,52.70482634166952,6.051587301587301,HEDEF_1,50.1218,14.2162,609.0,1782902195.0
55.0,372576.89094965265,29244.265707518734,-7011.0,70.54341382622611,52.70482634166952,6.051587301587301,HEDEF_2,50.1218,14.2162,609.0,1782902195.0
55.0,-70560.53528618827,-406785.6831621739,-7011.0,-423.6440841794336,-52.70482634166952,6.051587301587301,HEDEF_3,50.1218,14.2162,609.0,1782902195.0
97.0,-96110.80253222256,-409298.6885043406,-6706.0,-523.0226805543984,-59.66755063723775,10.118253968253969,HEDEF_3,50.1444,14.1698,914.0,1782902237.0
97.0,375903.04815323965,31757.27104968544,-6706.0,79.29776329884338,59.66755063723775,10.118253968253969,HEDEF_2,50.1444,14.1698,914.0,1782902237.0
97.0,-86014.13854706913,31757.27104968544,-6706.0,-79.29776329884338,59.66755063723775,10.118253968253969,HEDEF_1,50.1444,14.1698,914.0,1782902237.0
122.0,-88336.71383578077,33525.27038333415,-6401.0,-95.59743555574546,75.28779033254597,6.487301587301587,HEDEF_1,50.1603,14.1374,1219.0,1782902262.0
122.0,378225.62344195123,33525.27038333415,-6401.0,95.59743555574546,75.28779033254597,6.487301587301587,HEDEF_2,50.1603,14.1374,1219.0,1782902262.0
122.0,-103126.50574620583,-411066.6878379893,-6401.0,4.4989599543875585,-75.28779033254597,6.487301587301587,HEDEF_3,50.1603,14.1374,1219.0,1782902262.0
129.0,379028.4889738515,34192.43994320153,-6401.0,98.27137829946348,89.93728066826743,21.01111111111111,HEDEF_2,50.1663,14.1262,1219.0,1782902269.0
129.0,-102661.83420717632,-411733.85739785666,-6401.0,161.41650838220772,-89.93728066826743,21.01111111111111,HEDEF_3,50.1663,14.1262,1219.0,1782902269.0
129.0,-89139.579367681,34192.43994320153,-6401.0,-98.27137829946348,89.93728066826743,21.01111111111111,HEDEF_1,50.1663,14.1262,1219.0,1782902269.0
135.0,-89662.87565186607,34815.131532411186,-6096.0,-87.21604736417204,100.34018380544212,16.944444444444446,HEDEF_1,50.1719,14.1189,1524.0,1782902275.0
135.0,-101254.34296520587,-412356.5489870664,-6096.0,293.5996782014088,-100.34018380544212,16.944444444444446,HEDEF_3,50.1719,14.1189,1524.0,1782902275.0
135.0,379551.7852580366,34815.131532411186,-6096.0,87.21604736417204,100.34018380544212,16.944444444444446,HEDEF_2,50.1719,14.1189,1524.0,1782902275.0
141.0,-99017.50769623226,-412968.12108361116,-6096.0,413.92504787690274,-118.97857150965972,16.944444444444446,HEDEF_3,50.1774,14.1139,1524.0,1782902281.0
141.0,379910.2073704921,35426.70362895602,-6096.0,66.18861676678061,118.97857150965972,16.944444444444446,HEDEF_2,50.1774,14.1139,1524.0,1782902281.0
141.0,-90021.29776432161,35426.70362895602,-6096.0,-66.18861676678061,118.97857150965972,16.944444444444446,HEDEF_1,50.1774,14.1139,1524.0,1782902281.0
146.0,380168.27129145997,36182.82913013884,-6096.0,43.09030285297954,123.3028186569599,0.0,HEDEF_2,50.1842,14.1103,1524.0,1782902286.0
146.0,-96711.64985529042,-413724.246584794,-6096.0,498.94389370375575,-123.3028186569599,0.0,HEDEF_3,50.1842,14.1103,1524.0,1782902286.0
146.0,-90279.36168528948,36182.82913013884,-6096.0,-43.09030285297954,123.3028186569599,0.0,HEDEF_1,50.1842,14.1103,1524.0,1782902286.0
152.0,380275.7979251966,36883.3571679999,-6096.0,22.700067122176147,136.02846026187277,20.266666666666666,HEDEF_2,50.1905,14.1088,1524.0,1782902292.0
