time,sensor,local_track_id,callsign_true,x,y,vx,vy,track_quality,sigma_pos_m,sigma_vel_mps,is_clutter
4.16,RADAR_A,RADAR_A-CL95180,CLUTTER,-13260.61337860809,-59545.36365159393,-13.564991448181473,4.8173369792308,6,370.9507534326998,6.1825125572116635,True
4.16,RADAR_A,RADAR_A-CL54040,CLUTTER,-59506.49158084999,91808.79937428155,9.426274601412295,14.787738656545937,3,857.790551951732,14.296509199195533,True
5.01,RADAR_A,RADAR_A-T8270,PGT549U,-79377.49625305414,26781.518305685735,-34.324412918955026,25.77610175221587,13,52.46035864770422,0.8743393107950702,False
6.89,RADAR_C,RADAR_C-CL31612,CLUTTER,9993.200262812315,74016.70625490588,7.189704975189525,14.506426590273946,1,1500.0,25.0,True
6.89,RADAR_C,RADAR_C-CL73007,CLUTTER,82892.26853083883,82586.56819559116,18.160009587362854,-17.0632214926045,1,1500.0,25.0,True
7.14,RADAR_B,RADAR_B-T8179,PGT549U,-79561.53383111366,26850.331483594902,-35.88790728621239,28.026926675090532,10,121.30990322456422,2.021831720409404,False
7.3,RADAR_A,RADAR_A-T8270,PGT549U,-79634.86683400061,26930.847872138544,-35.41221973155383,25.616906580089196,13,52.46035864770422,0.8743393107950702,False
8.96,RADAR_B,RADAR_B-CL64627,CLUTTER,-5882.314142201954,-68084.19999654742,19.861492149242828,-17.247238115418252,3,857.790551951732,14.296509199195533,True
8.96,RADAR_B,RADAR_B-CL32600,CLUTTER,65678.90347403227,-60221.09971403915,7.703775217524088,10.365517061717423,1,1500.0,25.0,True
8.96,RADAR_B,RADAR_B-CL44670,CLUTTER,-36661.111262059174,-13542.579011159323,6.942098093893023,5.477611354170634,4,648.6736521905174,10.811227536508623,True
9.18,RADAR_A,RADAR_A-CL99157,CLUTTER,52729.406504643965,-80609.72147465707,-8.627915590190488,5.4147506808441195,5,490.536420678438,8.1756070113073,True
9.18,RADAR_A,RADAR_A-CL54153,CLUTTER,-73860.3492503374,-65325.36864849836,32.210840562584714,-43.619009690132536,1,1500.0,25.0,True
9.63,RADAR_A,RADAR_A-T8270,PGT549U,-79691.94842300034,27008.68885530143,-37.73124169816777,27.750445732276837,13,52.46035864770422,0.8743393107950702,False
11.69,RADAR_A,RADAR_A-CL53201,CLUTTER,-66801.10786497495,-39809.544717682365,-10.028916011329335,15.517568172182237,3,857.790551951732,14.296509199195533,True
11.69,RADAR_A,RADAR_A-CL58566,CLUTTER,-28723.513904245207,-48769.822965250234,7.688888662230515,1.5258352551244536,5,490.536420678438,8.1756070113073,True
12.11,RADAR_A,RADAR_A-T8270,PGT549U,-80003.31701881389,27181.19577456873,-39.66244117583119,27.56831440666266,9,160.417320008009,2.6736220001334834,False
12.44,RADAR_B,RADAR_B-CL36057,CLUTTER,60356.69723380395,-45203.63493770205,-3.4814026377942002,14.563706158094938,4,648.6736521905174,10.811227536508623,True
13.63,RADAR_B,RADAR_B-T8179,PGT549U,-79901.06156117088,27299.72170893644,-44.62980968614562,29.10940318236189,6,370.9507534326998,6.1825125572116635,False
13.81,RADAR_A,RADAR_A-CL63839,CLUTTER,-88956.47464991888,90927.50267201115,1.7134931240483033,0.26811753710751557,9,160.417320008009,2.6736220001334834,True
14.37,RADAR_A,RADAR_A-T8270,PGT549U,-79672.10103675393,27174.4521612321,-37.95829145405754,25.81454942965245,9,160.417320008009,2.6736220001334834,False
15.69,RADAR_C,RADAR_C-CL35626,CLUTTER,-22595.555087075205,18896.318652027214,43.500631507449775,-44.32600276088052,1,1500.0,25.0,True
15.69,RADAR_C,RADAR_C-CL77232,CLUTTER,62744.0179643218,73840.49361309235,15.207392746546065,8.599375651299185,1,1500.0,25.0,True
15.69,RADAR_C,RADAR_C-CL26020,CLUTTER,69434.84888178724,35574.49678315548,24.527635921675,-16.323269802582757,2,1134.321747974356,18.905362466239264,True
15.69,RADAR_C,RADAR_C-CL96239,CLUTTER,-57725.45947334931,-13142.495245160462,-23.68204661535321,-0.7681013320734198,3,857.790551951732,14.296509199195533,True
15.69,RADAR_C,RADAR_C-CL48969,CLUTTER,81781.2798039701,-1575.7229317464808,-2.6474417825798526,-32.35060497023034,2,1134.321747974356,18.905362466239264,True
15.97,RADAR_B,RADAR_B-CL26746,CLUTTER,-46861.36771873908,81667.66425850513,-18.73047754812528,10.73791417379875,1,1500.0,25.0,True
16.27,RADAR_C,RADAR_C-T5327,PGT549U,-81964.10520181875,27062.32859564941,-28.422012669728066,7.577020570458316,3,857.790551951732,14.296509199195533,False
16.71,RADAR_A,RADAR_A-T8270,PGT549U,-79787.89787919066,27494.73946043538,-39.457105532637804,31.466175406436534,10,121.30990322456422,2.021831720409404,False
17.17,RADAR_A,RADAR_A-CL94482,CLUTTER,-78710.48223337843,93848.12150737992,0.4695583060571891,4.428432196605432,5,490.536420678438,8.1756070113073,True
18.81,RADAR_A,RADAR_A-T8270,PGT549U,-80518.62432371757,27528.327742250854,-40.50994384661409,26.255415170099514,9,160.417320008009,2.6736220001334834,False
18.88,RADAR_A,RADAR_A-CL60802,CLUTTER,-19661.88628767713,59814.683897239214,32.64719235750435,-22.652663264416574,1,1500.0,25.0,True
19.3,RADAR_B,RADAR_B-T8179,PGT549U,-80048.13575973579,27583.396132755573,-42.00968653519087,28.208248661524163,8,212.13203435596427,3.5355339059327378,False
20.45,RADAR_B,RADAR_B-CL41417,CLUTTER,86212.0698977804,39545.37596960366,11.42882333337052,-15.384588325103024,1,1500.0,25.0,True
20.45,RADAR_B,RADAR_B-CL17582,CLUTTER,25569.8035468421,-32486.474243805293,4.064460290042519,24.326474971439406,2,1134.321747974356,18.905362466239264,True
20.45,RADAR_B,RADAR_B-CL25898,CLUTTER,-76557.68989393074,-67102.20918876064,23.868242208457893,-18.193444258607595,1,1500.0,25.0,True
21.59,RADAR_A,RADAR_A-T8270,PGT549U,-80559.05878916397,27691.489305175455,-39.10122725758165,33.59254678915274,9,160.417320008009,2.6736220001334834,False
22.89,RADAR_C,RADAR_C-T5327,PGT549U,-80315.5829516188,27274.462202253388,-39.171426084886875,27.65053162035117,6,370.9507534326998,6.1825125572116635,False
23.76,RADAR_A,RADAR_A-T8270,PGT549U,-80632.20903731485,27671.405819112177,-44.28162696653088,34.18227248172165,10,121.30990322456422,2.021831720409404,False
24.4,RADAR_A,RADAR_A-CL99616,CLUTTER,11353.743979498133,-17748.962417934206,5.6508298676669195,1.2030568501296934,8,212.13203435596427,3.5355339059327378,True
24.4,RADAR_A,RADAR_A-CL31711,CLUTTER,69200.68467947937,-5560.43227636494,-21.930348074313414,16.301704832038265,2,1134.321747974356,18.905362466239264,True
