time,sensor,local_track_id,callsign_true,x,y,vx,vy,track_quality,sigma_pos_m,sigma_vel_mps,is_clutter
1.95,RADAR_A,RADAR_A-T3517,HEDEF_2,369449.79580423044,26437.311923302965,37.04383699514762,25.23219576796675,13,327.1238904056844,0.8743393107950702,False
3.81,RADAR_A,RADAR_A-T3517,HEDEF_2,369036.4895828043,27445.34848886818,35.386174060568806,25.862792989365992,13,327.236079908261,0.8743393107950702,False
5.0,RADAR_A,RADAR_A-T7791,PGT549U,-79385.0809553358,26966.572899141618,-35.26188570577923,27.328300189796806,14,83.16251037423552,0.6611880635625048,False
5.75,RADAR_A,RADAR_A-T3517,HEDEF_2,369476.25766102056,26838.59166672744,36.0585942757514,25.46063165764694,13,327.35305620353296,0.8743393107950702,False
6.77,RADAR_B,RADAR_B-T8154,HEDEF_2,369218.09237676556,27049.33050558202,35.25797200585897,21.957744235334367,9,322.7433388523935,2.6736220001334834,False
7.03,RADAR_A,RADAR_A-T7481,HEDEF_3_MANEVRA,-76537.81199858269,-404799.99209445243,486.6903069759585,-26.036784166405532,10,379.0668220519154,2.021831720409404,False
7.34,RADAR_A,RADAR_A-T7791,PGT549U,-79574.53486514968,26776.441159399536,-35.381687979725115,26.782299049695077,12,100.88761692086378,1.1562054316023351,False
8.23,RADAR_A,RADAR_A-T3517,HEDEF_2,369349.5777922525,26934.10808747747,36.384854569997636,27.194815378476736,14,325.69891912063986,0.6611880635625048,False
9.08,RADAR_B,RADAR_B-SC46433,STATIC_CLUTTER,-343941.5950133857,108110.99080827582,-0.4822212854555363,0.2090487660747998,2,1134.321747974356,18.905362466239264,True
9.44,RADAR_B,RADAR_B-T8537,PGT549U,-79484.26652560833,27169.538327076745,-34.258400309343365,27.960383621846038,9,198.26140960680806,2.6736220001334834,False
9.91,RADAR_A,RADAR_A-T7791,PGT549U,-79561.72667267555,26966.625036665297,-36.57711215043872,25.445904896094262,13,90.24378167991425,0.8743393107950702,False
9.91,RADAR_A,RADAR_A-T7481,HEDEF_3_MANEVRA,-74749.24224392755,-404493.8668643534,448.9662678898977,-29.801567811746338,11,370.59294576013855,1.528938460803196,False
10.58,RADAR_A,RADAR_A-T3517,HEDEF_2,369593.5996526585,27168.157374074217,40.007163581837986,30.971480352828024,9,361.01619545153716,2.6736220001334834,False
11.01,RADAR_A,RADAR_A-SC62965,STATIC_CLUTTER,-331714.71051434154,-102107.5026356461,0.08109028723238977,0.23666581218233118,4,648.6736521905174,10.811227536508623,True
12.0,RADAR_A,RADAR_A-T7791,PGT549U,-79999.8480530025,27366.331579215603,-39.23944504337737,24.46716796707466,10,141.87712909871405,2.021831720409404,False
12.42,RADAR_A,RADAR_A-T7481,HEDEF_3_MANEVRA,-73603.03827536106,-404908.618501769,418.38370957005526,-27.91250603611226,9,393.20983539871054,2.6736220001334834,False
13.31,RADAR_C,RADAR_C-T7702,HEDEF_2,369434.0199636017,27479.735863473466,43.418961118550655,19.119560883686198,6,483.99438434371194,6.1825125572116635,False
14.63,RADAR_A,RADAR_A-T7481,HEDEF_3_MANEVRA,-73060.24864451448,-404659.1142338396,392.46408191313606,-29.921619650057373,11,370.48493548530024,1.528938460803196,False
14.95,RADAR_A,RADAR_A-T7791,PGT549U,-79888.17995938656,27222.381883478094,-35.81825036295123,25.17259091305205,9,176.56955073684347,2.6736220001334834,False
16.69,RADAR_B,RADAR_B-T8554,HEDEF_3_MANEVRA,-71753.65720732693,-404628.72355433705,377.45116117563634,-24.546365062626897,5,611.3848408815234,8.1756070113073,False
17.13,RADAR_A,RADAR_A-T7481,HEDEF_3_MANEVRA,-71781.07453762161,-405393.91509768774,367.89549197262517,-28.669775952154524,9,393.11225497770465,2.6736220001334834,False
17.76,RADAR_B,RADAR_B-T5371,HEDEF_2,370459.9129100188,27403.490553532836,42.39562104245509,23.794902849729063,8,351.87068762634374,3.5355339059327378,False
17.82,RADAR_A,RADAR_A-T9340,HEDEF_2,370309.6532259958,27056.40356050691,38.297487638166096,31.687142869659272,9,361.4128736063125,2.6736220001334834,False
17.99,RADAR_A,RADAR_A-T7791,PGT549U,-80197.4052793011,27817.97493333036,-42.44753730384952,29.071152740332987,10,142.0922047895843,2.021831720409404,False
18.36,RADAR_B,RADAR_B-SC69319,STATIC_CLUTTER,389167.7494575263,-173882.42411096388,0.7073407840999549,0.5095527316104845,4,648.6736521905174,10.811227536508623,True
20.13,RADAR_B,RADAR_B-T5707,PGT549U,-80796.15330394344,27629.440577196132,-46.599719484215626,44.754029563689,6,389.03157255821054,6.1825125572116635,False
20.73,RADAR_A,RADAR_A-T7791,PGT549U,-80578.52493550495,27146.264316777477,-43.6283629801445,27.91048634527246,11,117.9731901050609,1.528938460803196,False
20.98,RADAR_A,RADAR_A-T9340,HEDEF_2,370032.43280783895,27610.396379870468,40.49325980693095,30.881990590824294,11,336.7883468768487,1.528938460803196,False
21.32,RADAR_C,RADAR_C-T2301,PGT549U,-79956.20629526318,27079.253487364324,-49.316432281170535,25.046432656160036,7,293.97209751793633,4.6753056338464924,False
21.75,RADAR_A,RADAR_A-T2837,HEDEF_3_MANEVRA,-70097.52113455124,-405222.46444647806,302.80499678812777,-31.086507531524283,10,378.7483945777061,2.021831720409404,False
22.54,RADAR_B,RADAR_B-T5371,HEDEF_2,370436.83602987183,27247.120625003663,48.78907308938391,37.123718149605025,5,565.3370404456458,8.1756070113073,False
23.25,RADAR_A,RADAR_A-T7791,PGT549U,-80424.65201890428,27470.208947097763,-43.10237088476989,30.472473503998213,10,142.2818927804847,2.021831720409404,False
23.89,RADAR_A,RADAR_A-T9340,HEDEF_2,369689.8692987754,27925.96960236338,42.48710911145337,31.616289520653222,10,346.18316570341983,2.021831720409404,False
