time,sensor,local_track_id,callsign_true,x,y,z,vx,vy,vz,track_quality,sigma_pos_m,sigma_vel_mps,is_clutter
3.63,RADAR_A,RADAR_A-T8187,HEDEF_4,369106.6545969819,27898.946180483556,-7749.040929369346,34.656665367738036,317.40503469260017,-0.39874056068461416,13,459.95736076357883,0.8743393107950702,False
3.64,RADAR_A,RADAR_A-T7428,HEDEF_1,-79215.9881375517,26591.504306348565,-7280.47813008606,-34.65250385477502,26.361691431644232,2.5982362763570013,12,124.7036124477091,1.1562054316023351,False
4.49,RADAR_A,RADAR_A-T3538,HEDEF_3,-79268.42942034984,-404278.0755089347,-7914.075830756051,-6.242648149243538,-24.777612270139883,0.3385461485162559,13,511.2144560691648,0.8743393107950702,False
4.49,RADAR_A,RADAR_A-T4136,HEDEF_5,100436.7355936967,100316.08818789638,3008.904565122605,-42.19792788526264,65.30673492484988,12.712170293013855,14,179.66234528131878,0.6611880635625048,False
5.69,RADAR_A,RADAR_A-T8187,HEDEF_4,369315.3930849982,28548.92168050648,-6657.375659249835,36.93859664576197,327.34177171957634,3.414320726171086,9,484.5163777047179,2.6736220001334834,False
5.8,RADAR_A,RADAR_A-T7428,HEDEF_1,-79460.96456473402,26742.116096449412,-7541.957396053421,-35.585276425137764,28.233663558833197,1.849880323338839,14,111.15638264057914,0.6611880635625048,False
7.32,RADAR_A,RADAR_A-T7428,HEDEF_1,-79438.44343642819,26877.494451024137,-7365.575857434516,-34.89589038540964,27.64396691459134,-0.7718261417443664,13,116.4678561002263,0.8743393107950702,False
7.32,RADAR_A,RADAR_A-T4136,HEDEF_5,100231.0911220123,100558.27496578713,2854.6963900106243,-63.50805709437178,52.76414628993369,8.957306653113214,13,182.92467943228434,0.8743393107950702,False
8.12,RADAR_A,RADAR_A-T8187,HEDEF_4,369438.8634853961,28995.359145265757,-7163.118717188305,41.68255959649402,310.33838189450285,2.458853750523102,9,484.7774422447897,2.6736220001334834,False
8.44,RADAR_B,RADAR_B-T6515,HEDEF_1,-79382.74918990904,26884.363629040457,-7322.038567871736,-26.783994064313454,48.547362258058286,1.0383528665241362,8,268.6970365668442,3.5355339059327378,False
8.44,RADAR_B,RADAR_B-T5850,HEDEF_5,100395.95956667783,100348.96814413575,3037.2674125087574,-37.76397645837664,67.77986102117585,10.805689241973191,12,159.96917101953457,1.1562054316023351,False
9.19,RADAR_B,RADAR_B-T6553,HEDEF_4,369918.24197263963,29738.618981595213,-7460.220760668745,33.22511145105301,332.6406160446779,-3.815494489383891,6,543.0980274776643,6.1825125572116635,False
9.74,RADAR_B,RADAR_B-T9519,HEDEF_3,-79482.32340573194,-404245.24232880946,-6796.268842758775,-29.26966482378493,-18.387372977396883,1.3137263558492336,8,560.08575416084,3.5355339059327378,False
10.1,RADAR_A,RADAR_A-T7428,HEDEF_1,-79658.6504124232,26999.867618482556,-7232.279388922551,-36.30420826535719,26.971240524788634,1.8427988422584245,14,111.54731525379533,0.6611880635625048,False
10.1,RADAR_A,RADAR_A-T4136,HEDEF_5,100023.72122414561,100523.54993649274,3142.9765422690734,-69.49824423142653,20.87354915719172,11.975954735594303,13,182.85332336786553,0.8743393107950702,False
